id,servicoId,data,horaInicio,funcionarioId,clienteId,marcado
1,1,01/10/2024,09:00,4,1,false
2,1,01/10/2024,09:15,4,1,true
3,1,01/10/2024,09:30,4,1,false
4,1,01/10/2024,09:45,4,1,true
5,1,02/10/2024,10:00,4,1,false
6,1,02/10/2024,10:15,4,1,true
7,1,02/10/2024,10:30,4,1,false
8,1,02/10/2024,10:45,4,1,true
9,1,03/10/2024,11:00,4,1,false
10,1,03/10/2024,11:15,4,1,true
11,1,03/10/2024,11:30,4,1,false
12,1,03/10/2024,11:45,4,1,true
13,1,04/10/2024,12:00,4,1,true
14,1,04/10/2024,12:15,4,1,true
15,1,04/10/2024,12:30,4,1,false
16,1,04/10/2024,12:45,4,1,true
17,1,05/10/2024,13:00,4,1,false
18,1,05/10/2024,13:15,4,1,true
20,1,05/10/2024,13:45,4,1,true
23,1,06/10/2024,14:30,4,1,false
24,1,06/10/2024,14:45,4,1,true
25,1,07/10/2024,15:00,4,1,true
28,1,07/10/2024,15:45,4,1,true
